date,year,month,day,commodity,category,region,market_name,season,season_index,festival_flag,festival_name,festival_multiplier,msp_announced,rainfall_mm,rainfall_index,temperature_c,min_price_quintal,max_price_quintal,modal_price_quintal,price_per_kg,arrival_tonnes,demand_kg
2023-01-07,2023,1,7,Mustard,oilseeds,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,54.0,40.6,0.135,19.5,5683.5,7262.25,6315.0,63.15,1.76,1529.9
2023-01-07,2023,1,7,Potato,vegetables,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,18.0,0.0,0.0,18.0,2210.4,2824.4,2456.0,24.56,4.19,3312.6
2023-01-07,2023,1,7,Garlic,spices,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,130.0,13.0,0.043,22.6,18045.0,23057.5,20050.0,200.5,0.68,799.5
2023-01-07,2023,1,7,Rice,grains,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,32.0,18.8,0.063,22.3,4003.2,5115.2,4448.0,44.48,5.68,4551.2
2023-01-07,2023,1,7,Wheat,grains,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,24.0,46.6,0.155,24.7,2734.2,3493.7,3038.0,30.38,6.15,4863.0
2023-01-07,2023,1,7,Mustard,oilseeds,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,54.0,63.8,0.213,21.2,5888.7,7524.45,6543.0,65.43,1.72,1410.1
2023-01-07,2023,1,7,Onion,vegetables,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,20.0,0.0,0.0,19.6,2437.2,3114.2,2708.0,27.08,2.99,3426.9
2023-01-07,2023,1,7,Soybean,oilseeds,Punjab,Ludhiana Mandi,Rabi,2,0,,1.0,46.0,0.0,0.0,23.5,4678.2,5977.7,5198.0,51.98,1.78,1717.4
2023-01-07,2023,1,7,Banana,fruits,Punjab,Ludhiana Mandi,Rabi,2,0,,1.0,28.0,26.5,0.088,18.7,3839.4,4905.9,4266.0,42.66,3.82,2978.8
2023-01-07,2023,1,7,Onion,vegetables,Punjab,Ludhiana Mandi,Rabi,2,0,,1.0,20.0,0.0,0.0,18.7,2681.1,3425.85,2979.0,29.79,4.39,3423.4
2023-01-07,2023,1,7,Banana,fruits,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,28.0,54.7,0.182,22.3,3210.3,4102.05,3567.0,35.67,3.33,3047.9
2023-01-07,2023,1,7,Apple,fruits,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,85.0,15.7,0.052,22.3,11816.1,15098.35,13129.0,131.29,1.19,1325.7
2023-01-07,2023,1,7,Onion,vegetables,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,20.0,0.0,0.0,19.3,2573.1,3287.85,2859.0,28.59,3.87,3005.7
2023-01-07,2023,1,7,Potato,vegetables,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,18.0,37.0,0.123,23.3,1953.9,2496.65,2171.0,21.71,5.24,4250.5
2023-01-07,2023,1,7,Gram (Chana),pulses,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,58.0,48.0,0.16,19.5,7182.0,9177.0,7980.0,79.8,2.42,1885.5
2023-01-07,2023,1,7,Onion,vegetables,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,20.0,25.4,0.085,20.9,2202.3,2814.05,2447.0,24.47,2.77,2958.1
2023-01-10,2023,1,10,Rice,grains,Karnataka,Kolar APMC Market,Rabi,2,0,,1.0,32.0,0.0,0.0,20.0,3990.6,5099.1,4434.0,44.34,5.5,4553.2
2023-01-10,2023,1,10,Turmeric,spices,Karnataka,Kolar APMC Market,Rabi,2,0,,1.0,120.0,26.5,0.088,23.2,13877.1,17731.85,15419.0,154.19,0.8,672.6
2023-01-10,2023,1,10,Mustard,oilseeds,Karnataka,Kolar APMC Market,Rabi,2,0,,1.0,54.0,44.9,0.15,21.6,6225.3,7954.55,6917.0,69.17,1.84,1426.1
2023-01-10,2023,1,10,Wheat,grains,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,24.0,21.6,0.072,16.8,2798.1,3575.35,3109.0,31.09,6.38,6195.6
2023-01-10,2023,1,10,Apple,fruits,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,85.0,27.6,0.092,21.7,12363.3,15797.55,13737.0,137.37,1.37,1514.8
2023-01-10,2023,1,10,Mango,fruits,Maharashtra,Lasalgaon Mandi,Rabi,2,0,,1.0,60.0,0.0,0.0,22.4,17928.9,22909.15,19921.0,199.21,0.46,418.0
2023-01-10,2023,1,10,Apple,fruits,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,85.0,5.0,0.017,19.6,10075.5,12874.25,11195.0,111.95,1.3,1542.4
2023-01-10,2023,1,10,Onion,vegetables,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,20.0,13.5,0.045,18.5,2097.0,2679.5,2330.0,23.3,3.54,3364.1
2023-01-10,2023,1,10,Soybean,oilseeds,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,46.0,13.6,0.045,20.6,5130.9,6556.15,5701.0,57.01,1.54,1832.5
2023-01-10,2023,1,10,Onion,vegetables,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,20.0,9.3,0.031,15.9,3002.4,3836.4,3336.0,33.36,2.9,2812.1
2023-01-10,2023,1,10,Soybean,oilseeds,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,46.0,37.4,0.125,18.6,5042.7,6443.45,5603.0,56.03,1.71,1603.7
2023-01-10,2023,1,10,Rice,grains,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,32.0,12.9,0.043,18.6,3834.0,4899.0,4260.0,42.6,3.87,4139.6
2023-01-10,2023,1,10,Turmeric,spices,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,120.0,58.3,0.194,22.3,17047.8,21783.3,18942.0,189.42,0.72,849.5
2023-01-10,2023,1,10,Potato,vegetables,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,18.0,75.5,0.252,22.6,2293.2,2930.2,2548.0,25.48,2.92,3376.7
2023-01-10,2023,1,10,Mustard,oilseeds,Karnataka,Yeshwanthpur APMC,Rabi,2,0,,1.0,54.0,0.0,0.0,17.8,6743.7,8616.95,7493.0,74.93,1.47,1503.7
2023-01-10,2023,1,10,Mango,fruits,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,60.0,0.0,0.0,19.4,14744.7,18840.45,16383.0,163.83,0.45,351.9
2023-01-10,2023,1,10,Soybean,oilseeds,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,46.0,10.2,0.034,18.7,4962.6,6341.1,5514.0,55.14,1.35,1526.2
2023-01-10,2023,1,10,Potato,vegetables,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,18.0,29.3,0.098,20.9,2300.4,2939.4,2556.0,25.56,3.83,4072.1
2023-01-13,2023,1,13,Mustard,oilseeds,Maharashtra,Lasalgaon Mandi,Rabi,2,1,Pongal_Sankranti,1.45,54.0,15.3,0.051,22.2,6690.6,8549.1,7434.0,74.34,2.79,2541.1
2023-01-13,2023,1,13,Garlic,spices,Maharashtra,Lasalgaon Mandi,Rabi,2,1,Pongal_Sankranti,1.45,130.0,0.0,0.0,19.1,16953.3,21662.55,18837.0,188.37,1.59,1308.4
2023-01-13,2023,1,13,Apple,fruits,Maharashtra,Lasalgaon Mandi,Rabi,2,1,Pongal_Sankranti,1.45,85.0,34.6,0.115,20.9,13839.3,17683.55,15377.0,153.77,3.17,2598.9
2023-01-13,2023,1,13,Tomato,vegetables,Tamil Nadu,Koyambedu Market,Rabi,2,1,Pongal_Sankranti,1.45,25.0,52.2,0.174,20.0,3171.6,4052.6,3524.0,35.24,4.99,4895.2
2023-01-13,2023,1,13,Soybean,oilseeds,Tamil Nadu,Koyambedu Market,Rabi,2,1,Pongal_Sankranti,1.45,46.0,13.5,0.045,16.2,4700.7,6006.45,5223.0,52.23,2.91,2766.7
2023-01-13,2023,1,13,Chilli,spices,Tamil Nadu,Koyambedu Market,Rabi,2,1,Pongal_Sankranti,1.45,110.0,38.6,0.129,20.2,9971.1,12740.85,11079.0,110.79,2.34,1870.9
2023-01-13,2023,1,13,Mango,fruits,Karnataka,Yeshwanthpur APMC,Rabi,2,1,Pongal_Sankranti,1.45,60.0,73.0,0.243,20.6,16710.3,21352.05,18567.0,185.67,0.81,680.3
2023-01-13,2023,1,13,Tomato,vegetables,Karnataka,Yeshwanthpur APMC,Rabi,2,1,Pongal_Sankranti,1.45,25.0,21.6,0.072,19.8,4392.0,5612.0,4880.0,48.8,4.76,4043.2
2023-01-13,2023,1,13,Wheat,grains,Karnataka,Yeshwanthpur APMC,Rabi,2,1,Pongal_Sankranti,1.45,24.0,32.6,0.109,18.8,2519.1,3218.85,2799.0,27.99,7.49,6797.9
2023-01-13,2023,1,13,Garlic,spices,Uttar Pradesh,Varanasi Mandi,Rabi,2,1,Pongal_Sankranti,1.45,130.0,0.9,0.003,19.3,15971.4,20407.9,17746.0,177.46,1.04,941.4
2023-01-13,2023,1,13,Tomato,vegetables,Uttar Pradesh,Varanasi Mandi,Rabi,2,1,Pongal_Sankranti,1.45,25.0,23.7,0.079,19.8,4242.6,5421.1,4714.0,47.14,3.63,4269.0
2023-01-13,2023,1,13,Rice,grains,Uttar Pradesh,Varanasi Mandi,Rabi,2,1,Pongal_Sankranti,1.45,32.0,15.3,0.051,23.3,3959.1,5058.85,4399.0,43.99,5.84,6541.8
2023-01-13,2023,1,13,Gram (Chana),pulses,Karnataka,Kolar APMC Market,Rabi,2,1,Pongal_Sankranti,1.45,58.0,5.1,0.017,17.4,7020.9,8971.15,7801.0,78.01,2.86,2936.4
2023-01-13,2023,1,13,Onion,vegetables,Karnataka,Kolar APMC Market,Rabi,2,1,Pongal_Sankranti,1.45,20.0,62.1,0.207,19.1,2615.4,3341.9,2906.0,29.06,4.19,4082.2
2023-01-13,2023,1,13,Chilli,spices,Karnataka,Kolar APMC Market,Rabi,2,1,Pongal_Sankranti,1.45,110.0,24.2,0.081,20.1,13483.8,17229.3,14982.0,149.82,1.57,1250.9
2023-01-13,2023,1,13,Potato,vegetables,Maharashtra,Vashi APMC,Rabi,2,1,Pongal_Sankranti,1.45,18.0,10.4,0.035,20.4,2166.3,2768.05,2407.0,24.07,6.41,5836.6
2023-01-13,2023,1,13,Apple,fruits,Maharashtra,Vashi APMC,Rabi,2,1,Pongal_Sankranti,1.45,85.0,30.7,0.102,20.6,11431.8,14607.3,12702.0,127.02,2.29,2540.9
2023-01-13,2023,1,13,Turmeric,spices,Maharashtra,Vashi APMC,Rabi,2,1,Pongal_Sankranti,1.45,120.0,94.6,0.315,18.5,11741.4,15002.9,13046.0,130.46,1.61,1574.8
2023-01-16,2023,1,16,Turmeric,spices,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,1,Pongal_Sankranti,1.45,120.0,23.7,0.079,18.0,17612.1,22504.35,19569.0,195.69,1.15,1064.0
2023-01-16,2023,1,16,Apple,fruits,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,1,Pongal_Sankranti,1.45,85.0,26.6,0.089,22.8,12503.7,15976.95,13893.0,138.93,3.01,2325.0
2023-01-16,2023,1,16,Chilli,spices,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,1,Pongal_Sankranti,1.45,110.0,54.3,0.181,21.7,11849.4,15140.9,13166.0,131.66,1.5,1559.8
2023-01-16,2023,1,16,Rice,grains,Gujarat,Surat APMC,Rabi,2,1,Pongal_Sankranti,1.45,32.0,36.2,0.121,21.4,4358.7,5569.45,4843.0,48.43,7.35,6061.7
2023-01-16,2023,1,16,Mustard,oilseeds,Gujarat,Surat APMC,Rabi,2,1,Pongal_Sankranti,1.45,54.0,14.8,0.049,20.7,6813.0,8705.5,7570.0,75.7,2.32,1952.8
2023-01-16,2023,1,16,Garlic,spices,Gujarat,Surat APMC,Rabi,2,1,Pongal_Sankranti,1.45,130.0,46.8,0.156,20.1,18078.3,23100.05,20087.0,200.87,1.14,1056.6
2023-01-16,2023,1,16,Turmeric,spices,Delhi,Azadpur Mandi,Rabi,2,1,Pongal_Sankranti,1.45,120.0,27.3,0.091,20.5,16551.9,21149.65,18391.0,183.91,1.26,1419.5
2023-01-16,2023,1,16,Chilli,spices,Delhi,Azadpur Mandi,Rabi,2,1,Pongal_Sankranti,1.45,110.0,0.0,0.0,22.0,14741.1,18835.85,16379.0,163.79,2.59,2128.5
2023-01-16,2023,1,16,Mango,fruits,Delhi,Azadpur Mandi,Rabi,2,1,Pongal_Sankranti,1.45,60.0,29.4,0.098,22.8,16722.0,21367.0,18580.0,185.8,0.74,831.5
2023-01-16,2023,1,16,Turmeric,spices,Karnataka,Kolar APMC Market,Rabi,2,1,Pongal_Sankranti,1.45,120.0,17.4,0.058,23.3,16686.9,21322.15,18541.0,185.41,1.39,1255.2
2023-01-16,2023,1,16,Apple,fruits,Karnataka,Kolar APMC Market,Rabi,2,1,Pongal_Sankranti,1.45,85.0,19.8,0.066,22.0,11460.6,14644.1,12734.0,127.34,2.0,1869.7
2023-01-16,2023,1,16,Banana,fruits,Karnataka,Kolar APMC Market,Rabi,2,1,Pongal_Sankranti,1.45,28.0,30.1,0.1,20.3,3375.0,4312.5,3750.0,37.5,4.03,3883.0
2023-01-16,2023,1,16,Rice,grains,Maharashtra,Lasalgaon Mandi,Rabi,2,1,Pongal_Sankranti,1.45,32.0,15.3,0.051,19.5,4327.2,5529.2,4808.0,48.08,8.85,8341.2
2023-01-16,2023,1,16,Garlic,spices,Maharashtra,Lasalgaon Mandi,Rabi,2,1,Pongal_Sankranti,1.45,130.0,40.3,0.134,23.4,19722.6,25201.1,21914.0,219.14,1.49,1331.1
2023-01-16,2023,1,16,Chilli,spices,Maharashtra,Lasalgaon Mandi,Rabi,2,1,Pongal_Sankranti,1.45,110.0,56.9,0.19,22.9,12949.2,16546.2,14388.0,143.88,1.53,1855.5
2023-01-16,2023,1,16,Turmeric,spices,Uttar Pradesh,Varanasi Mandi,Rabi,2,1,Pongal_Sankranti,1.45,120.0,22.0,0.073,22.2,16043.4,20499.9,17826.0,178.26,1.19,1235.3
2023-01-16,2023,1,16,Chilli,spices,Uttar Pradesh,Varanasi Mandi,Rabi,2,1,Pongal_Sankranti,1.45,110.0,0.0,0.0,21.9,15653.7,20001.95,17393.0,173.93,1.7,1462.0
2023-01-16,2023,1,16,Gram (Chana),pulses,Uttar Pradesh,Varanasi Mandi,Rabi,2,1,Pongal_Sankranti,1.45,58.0,18.3,0.061,20.0,7089.3,9058.55,7877.0,78.77,2.95,3073.9
2023-01-19,2023,1,19,Mustard,oilseeds,Delhi,Azadpur Mandi,Rabi,2,0,,1.0,54.0,16.4,0.055,24.0,5605.2,7162.2,6228.0,62.28,1.67,1813.4
2023-01-19,2023,1,19,Garlic,spices,Delhi,Azadpur Mandi,Rabi,2,0,,1.0,130.0,20.0,0.067,19.5,13816.8,17654.8,15352.0,153.52,0.73,793.1
2023-01-19,2023,1,19,Gram (Chana),pulses,Delhi,Azadpur Mandi,Rabi,2,0,,1.0,58.0,26.7,0.089,21.5,5962.5,7618.75,6625.0,66.25,2.23,2456.0
2023-01-19,2023,1,19,Garlic,spices,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,130.0,56.7,0.189,24.3,16367.4,20913.9,18186.0,181.86,0.64,721.4
2023-01-19,2023,1,19,Chilli,spices,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,110.0,11.9,0.04,19.9,14398.2,18397.7,15998.0,159.98,0.95,1148.3
2023-01-19,2023,1,19,Tomato,vegetables,Punjab,Khanna Grain Market,Rabi,2,0,,1.0,25.0,18.2,0.061,18.7,3678.3,4700.05,4087.0,40.87,2.87,3276.1
2023-01-19,2023,1,19,Garlic,spices,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,130.0,41.1,0.137,23.2,16437.6,21003.6,18264.0,182.64,0.81,803.8
2023-01-19,2023,1,19,Mango,fruits,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,60.0,0.0,0.0,19.6,17367.3,22191.55,19297.0,192.97,0.42,504.7
2023-01-19,2023,1,19,Soybean,oilseeds,Maharashtra,Vashi APMC,Rabi,2,0,,1.0,46.0,44.9,0.15,18.9,4354.2,5563.7,4838.0,48.38,1.46,1327.6
2023-01-19,2023,1,19,Rice,grains,Tamil Nadu,Koyambedu Market,Rabi,2,0,,1.0,32.0,50.8,0.169,21.9,3950.1,5047.35,4389.0,43.89,6.57,5394.5
2023-01-19,2023,1,19,Chilli,spices,Tamil Nadu,Koyambedu Market,Rabi,2,0,,1.0,110.0,54.2,0.181,23.4,13581.0,17353.5,15090.0,150.9,1.18,1343.8
2023-01-19,2023,1,19,Apple,fruits,Tamil Nadu,Koyambedu Market,Rabi,2,0,,1.0,85.0,18.3,0.061,19.4,11441.7,14619.95,12713.0,127.13,1.88,1559.0
2023-01-19,2023,1,19,Rice,grains,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,32.0,17.7,0.059,19.7,3712.5,4743.75,4125.0,41.25,5.77,4732.4
2023-01-19,2023,1,19,Potato,vegetables,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,18.0,0.0,0.0,20.3,2114.1,2701.35,2349.0,23.49,3.3,3715.7
2023-01-19,2023,1,19,Banana,fruits,Andhra Pradesh,Guntur Mirchi Yard,Rabi,2,0,,1.0,28.0,39.8,0.133,19.9,3924.9,5015.15,4361.0,43.61,2.11,2551.3
2023-01-19,2023,1,19,Rice,grains,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,32.0,55.9,0.186,20.1,3509.1,4483.85,3899.0,38.99,6.59,5177.8
2023-01-19,2023,1,19,Gram (Chana),pulses,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,58.0,60.0,0.2,21.3,6223.5,7952.25,6915.0,69.15,2.65,2229.5
2023-01-19,2023,1,19,Tomato,vegetables,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,25.0,15.4,0.051,20.4,2864.7,3660.45,3183.0,31.83,2.52,2625.0
2023-01-22,2023,1,22,Rice,grains,Gujarat,Surat APMC,Rabi,2,0,,1.0,32.0,34.4,0.115,22.7,4114.8,5257.8,4572.0,45.72,4.05,4715.9
2023-01-22,2023,1,22,Gram (Chana),pulses,Gujarat,Surat APMC,Rabi,2,0,,1.0,58.0,38.9,0.13,19.8,6316.2,8070.7,7018.0,70.18,1.77,1693.5
2023-01-22,2023,1,22,Mustard,oilseeds,Gujarat,Surat APMC,Rabi,2,0,,1.0,54.0,32.7,0.109,19.9,5544.9,7085.15,6161.0,61.61,1.43,1494.2
2023-01-22,2023,1,22,Apple,fruits,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,85.0,53.0,0.177,23.0,10862.1,13879.35,12069.0,120.69,1.67,1607.3
2023-01-22,2023,1,22,Banana,fruits,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,28.0,14.3,0.048,19.0,3206.7,4097.45,3563.0,35.63,3.57,2874.3
2023-01-22,2023,1,22,Chilli,spices,Tamil Nadu,Salem Agri Mandi,Rabi,2,0,,1.0,110.0,0.0,0.0,19.1,13435.2,17167.2,14928.0,149.28,1.07,1299.0
2023-01-22,2023,1,22,Wheat,grains,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,24.0,15.0,0.05,23.5,2846.7,3637.45,3163.0,31.63,6.1,5045.8
2023-01-22,2023,1,22,Mango,fruits,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,60.0,81.4,0.271,19.9,13595.4,17371.9,15106.0,151.06,0.42,501.1
2023-01-22,2023,1,22,Chilli,spices,Uttar Pradesh,Varanasi Mandi,Rabi,2,0,,1.0,110.0,3.7,0.012,20.2,14307.3,18281.55,15897.0,158.97,1.21,1154.4
