date,category,region,demand_kg,price_per_kg,rainfall_mm,temperature_c,festival_flag,season
2026-07-28,grains,Tamil Nadu,1291.47,116.2,144.33,24.9,0,Kharif
2025-06-17,grains,Tamil Nadu,654.47,80.19,22.65,30.1,0,Kharif
2026-08-20,fruits,Punjab,2769.22,114.78,240.22,34.6,1,Kharif
2026-08-15,fruits,Tamil Nadu,2232.58,24.88,66.59,19.6,1,Kharif
2025-07-29,grains,Tamil Nadu,529.57,38.74,239.97,18.6,0,Kharif
2024-10-17,vegetables,Gujarat,1285.91,37.9,72.95,29.4,1,Kharif
2025-03-30,spices,Kerala,1943.97,189.99,7.05,23.1,0,Rabi
2025-03-01,oilseeds,Delhi,630.39,133.98,36.8,32.0,0,Rabi
2025-09-09,dairy,Kerala,1374.56,95.86,267.8,31.3,0,Kharif
2025-12-31,pulses,Kerala,889.14,88.34,29.51,20.4,0,Rabi
2024-10-05,dairy,Andhra Pradesh,1671.18,119.37,130.84,20.9,1,Kharif
2025-01-29,pulses,Punjab,1645.41,45.22,43.42,24.7,0,Rabi
2024-09-09,spices,Tamil Nadu,1699.78,96.54,6.74,20.4,0,Kharif
2024-10-29,fruits,Andhra Pradesh,1655.74,59.24,193.52,23.4,1,Kharif
2026-01-28,fruits,Punjab,1850.86,144.42,34.16,31.5,0,Rabi
2025-08-04,dairy,Punjab,2047.16,69.33,166.25,28.0,1,Kharif
2025-01-01,fruits,Gujarat,809.63,21.98,6.84,33.0,0,Rabi
2026-06-04,spices,Kerala,1396.12,128.09,199.51,18.5,0,Kharif
2025-12-10,dairy,Maharashtra,1128.16,88.96,25.95,15.9,0,Rabi
2024-10-27,pulses,Karnataka,2410.58,34.9,180.95,19.9,1,Kharif
2025-01-11,dairy,Kerala,933.04,84.02,35.95,20.9,0,Rabi
2026-01-06,grains,Karnataka,1214.08,139.46,46.84,29.7,0,Rabi
2026-04-10,vegetables,Punjab,546.77,67.21,29.75,16.0,0,Zaid
2025-09-21,spices,Kerala,1395.26,80.16,231.27,17.1,0,Kharif
2026-07-01,vegetables,Delhi,1592.28,109.19,206.52,23.7,0,Kharif
2025-10-18,oilseeds,Kerala,2592.98,163.89,208.41,20.4,1,Kharif
2025-06-10,fruits,Gujarat,1041.46,36.48,275.19,17.7,0,Kharif
2025-09-08,fruits,Maharashtra,1169.01,53.32,162.57,32.5,0,Kharif
2025-12-28,oilseeds,Andhra Pradesh,1638.55,150.34,31.86,34.6,0,Rabi
2025-04-13,fruits,Maharashtra,1470.0,144.77,2.58,28.4,0,Zaid
2024-10-05,fruits,Delhi,2831.81,52.5,170.38,33.3,1,Kharif
2024-09-22,spices,Tamil Nadu,1546.13,73.52,277.32,34.4,0,Kharif
2025-01-07,oilseeds,Andhra Pradesh,1211.32,175.17,42.23,21.4,0,Rabi
2025-03-14,fruits,Tamil Nadu,555.51,127.33,11.5,17.4,0,Rabi
2024-09-27,fruits,Kerala,1544.43,81.18,217.43,16.3,0,Kharif
2024-10-12,oilseeds,Delhi,1963.86,162.33,95.63,27.5,1,Kharif
2026-01-10,dairy,Punjab,1815.0,95.15,23.1,34.8,0,Rabi
2025-10-06,grains,Tamil Nadu,1167.31,89.11,279.78,16.4,1,Kharif
2026-03-22,spices,Gujarat,579.03,35.94,1.88,24.6,0,Rabi
2026-08-23,pulses,Tamil Nadu,1646.15,36.51,100.91,25.5,1,Kharif
2024-12-02,vegetables,Karnataka,505.02,104.12,14.85,32.1,0,Rabi
2026-07-10,fruits,Karnataka,1383.66,69.91,273.1,15.9,0,Kharif
2026-08-21,oilseeds,Maharashtra,1631.17,42.4,286.92,31.0,1,Kharif
2026-02-23,dairy,Kerala,1382.83,196.82,44.21,27.0,0,Rabi
2026-04-30,spices,Andhra Pradesh,1983.78,153.8,3.25,23.0,0,Zaid
2025-11-30,dairy,Tamil Nadu,1268.78,169.52,6.02,15.9,1,Rabi
2026-05-30,vegetables,Punjab,555.1,192.31,41.31,31.0,0,Zaid
2024-08-30,spices,Tamil Nadu,1236.73,113.29,179.18,25.5,1,Kharif
2025-03-31,grains,Punjab,1272.87,108.41,49.82,32.9,0,Rabi
2026-01-10,grains,Karnataka,1434.41,154.62,1.74,32.9,0,Rabi
2025-09-27,dairy,Punjab,1186.15,90.41,81.89,24.5,0,Kharif
2025-09-22,grains,Maharashtra,1778.29,26.38,98.72,33.6,0,Kharif
2025-03-20,grains,Kerala,922.09,65.48,0.25,28.9,0,Rabi
2024-09-09,fruits,Punjab,621.57,59.63,204.98,16.5,0,Kharif
2026-03-02,vegetables,Punjab,1242.72,106.51,29.62,31.5,0,Rabi
2025-11-29,fruits,Delhi,2022.9,68.07,43.93,30.9,1,Rabi
2026-07-17,pulses,Maharashtra,736.01,48.87,100.2,19.8,0,Kharif
2026-03-23,dairy,Punjab,658.75,145.82,9.46,32.6,0,Rabi
2025-04-23,dairy,Punjab,1198.21,178.23,0.26,31.4,0,Zaid
2026-03-12,dairy,Karnataka,1863.05,20.2,27.81,30.1,0,Rabi
2024-11-29,pulses,Tamil Nadu,1184.55,35.14,16.32,26.2,1,Rabi
2025-12-23,oilseeds,Punjab,1451.01,117.2,38.99,17.1,0,Rabi
2025-10-06,spices,Tamil Nadu,1967.85,193.34,102.56,27.7,1,Kharif
2025-04-13,spices,Andhra Pradesh,653.76,188.7,34.39,16.4,0,Zaid
2026-06-11,grains,Delhi,1562.26,32.12,174.65,21.9,0,Kharif
2025-02-12,fruits,Delhi,568.61,176.88,48.67,34.4,0,Rabi
2026-02-17,pulses,Kerala,695.13,156.49,1.23,15.4,0,Rabi
2024-09-30,spices,Tamil Nadu,1232.96,158.67,204.99,23.9,0,Kharif
2026-02-01,spices,Punjab,1995.69,96.71,22.57,18.3,0,Rabi
2025-02-01,oilseeds,Andhra Pradesh,1540.52,59.74,4.12,28.6,0,Rabi
2026-07-25,spices,Kerala,909.89,191.16,45.32,23.6,0,Kharif
2025-04-25,dairy,Tamil Nadu,1129.59,134.93,19.88,20.5,0,Zaid
2024-11-19,grains,Kerala,1671.0,180.94,11.5,19.3,1,Rabi
2026-03-26,vegetables,Maharashtra,1572.39,121.3,23.58,25.9,0,Rabi
2026-07-08,pulses,Karnataka,805.55,36.41,46.1,24.1,0,Kharif
2026-03-05,fruits,Gujarat,526.79,163.42,14.71,33.2,0,Rabi
2026-03-22,fruits,Kerala,778.19,103.18,0.06,27.0,0,Rabi
2026-06-02,spices,Gujarat,871.31,120.51,67.66,18.2,0,Kharif
2024-09-22,spices,Karnataka,988.89,126.25,129.97,34.7,0,Kharif
2026-05-07,vegetables,Delhi,1196.9,142.48,19.78,34.5,0,Zaid
2026-03-04,spices,Delhi,1485.48,156.27,47.63,33.2,0,Rabi
2025-07-31,grains,Karnataka,1623.74,46.27,30.84,26.4,0,Kharif
2025-07-22,oilseeds,Delhi,1223.53,57.86,103.8,30.5,0,Kharif
2026-05-27,fruits,Gujarat,608.62,116.16,44.13,16.7,0,Zaid
2026-01-13,dairy,Gujarat,1036.7,77.98,48.87,19.0,0,Rabi
2025-08-08,fruits,Punjab,2598.24,27.41,201.12,34.0,1,Kharif
2025-12-11,dairy,Kerala,1844.33,127.06,30.83,27.3,0,Rabi
2025-04-13,vegetables,Punjab,1902.8,190.52,31.27,30.7,0,Zaid
2025-03-03,oilseeds,Kerala,1226.6,138.95,27.65,26.9,0,Rabi
2025-04-07,spices,Punjab,1221.36,27.34,8.2,23.8,0,Zaid
2025-09-14,fruits,Karnataka,1389.92,137.05,143.78,27.3,0,Kharif
2025-09-06,grains,Tamil Nadu,1205.27,153.97,261.55,23.7,0,Kharif
2025-06-04,grains,Gujarat,1333.05,149.46,68.54,34.9,0,Kharif
2026-05-20,vegetables,Kerala,1475.49,55.92,34.01,16.4,0,Zaid
2026-05-15,oilseeds,Tamil Nadu,886.52,103.27,43.41,29.5,0,Zaid
2025-05-11,dairy,Delhi,1138.24,82.27,18.55,34.8,0,Zaid
2025-08-19,fruits,Maharashtra,1906.49,125.85,8.82,22.9,1,Kharif
2026-08-05,pulses,Punjab,2094.88,162.73,196.5,34.8,1,Kharif
2025-11-24,fruits,Karnataka,1558.09,89.09,23.29,31.7,1,Rabi
2025-10-10,vegetables,Kerala,2496.0,92.96,180.56,27.7,1,Kharif
2026-06-05,spices,Karnataka,1268.92,94.35,20.74,23.7,0,Kharif
2025-07-09,spices,Gujarat,1107.53,126.73,173.82,28.3,0,Kharif
2026-07-03,oilseeds,Karnataka,1478.18,76.19,119.71,32.2,0,Kharif
2025-04-07,dairy,Tamil Nadu,1382.62,127.77,19.83,19.7,0,Zaid
2025-04-16,oilseeds,Kerala,1825.56,99.56,16.54,24.0,0,Zaid
2026-07-10,pulses,Karnataka,718.63,100.9,176.37,34.0,0,Kharif
2026-06-20,vegetables,Delhi,1038.88,88.28,181.66,22.1,0,Kharif
2025-09-03,pulses,Andhra Pradesh,1672.69,146.97,133.91,32.3,0,Kharif
2026-06-28,spices,Gujarat,1309.86,26.15,296.01,17.5,0,Kharif
2026-04-25,dairy,Gujarat,577.55,135.2,11.24,18.6,0,Zaid
2025-12-10,grains,Andhra Pradesh,654.96,125.24,34.41,22.9,0,Rabi
2025-04-15,fruits,Delhi,1528.95,23.13,16.16,34.5,0,Zaid
2026-07-18,oilseeds,Tamil Nadu,881.34,113.91,102.8,25.6,0,Kharif
2024-12-16,oilseeds,Delhi,699.07,45.84,46.99,29.7,0,Rabi
2026-01-04,fruits,Andhra Pradesh,640.85,141.07,22.19,32.4,0,Rabi
2025-11-10,spices,Tamil Nadu,2308.41,170.86,47.23,28.7,1,Rabi
2026-03-12,fruits,Punjab,1426.77,176.4,28.53,15.6,0,Rabi
2025-05-20,vegetables,Karnataka,1878.02,128.11,47.04,31.5,0,Zaid
2026-01-17,dairy,Maharashtra,659.89,138.41,49.97,16.0,0,Rabi
2025-09-15,vegetables,Maharashtra,1110.36,176.74,234.72,26.3,0,Kharif
2025-09-16,vegetables,Kerala,1817.77,92.75,98.11,28.4,0,Kharif
2024-12-16,spices,Punjab,1643.43,163.61,21.78,31.4,0,Rabi
2026-04-30,spices,Karnataka,1473.61,79.11,31.51,27.2,0,Zaid
2026-05-12,oilseeds,Andhra Pradesh,1070.63,118.73,29.82,25.9,0,Zaid
2024-11-14,grains,Gujarat,783.0,125.67,8.42,27.9,1,Rabi
2026-07-25,fruits,Karnataka,1250.67,117.63,285.44,31.9,0,Kharif
2024-12-16,pulses,Andhra Pradesh,1720.65,39.61,7.45,25.5,0,Rabi
2024-08-27,oilseeds,Gujarat,1822.56,90.99,164.82,29.9,1,Kharif
2026-05-29,pulses,Kerala,1281.85,168.03,21.54,32.9,0,Zaid
2025-04-02,dairy,Gujarat,1931.99,137.84,19.0,18.9,0,Zaid
2026-03-14,dairy,Karnataka,791.84,49.94,30.87,25.5,0,Rabi
2025-04-07,spices,Kerala,1894.41,115.81,29.05,16.8,0,Zaid
2025-09-14,spices,Punjab,1099.86,195.81,246.95,25.4,0,Kharif
2025-10-02,oilseeds,Tamil Nadu,2683.69,163.96,55.38,20.9,1,Kharif
2026-05-25,vegetables,Punjab,777.84,185.2,21.23,16.7,0,Zaid
2025-01-02,spices,Maharashtra,1060.26,114.77,5.62,15.1,0,Rabi
2024-10-17,spices,Karnataka,1909.14,126.84,238.12,27.9,1,Kharif
2026-07-10,fruits,Maharashtra,1759.79,182.0,106.03,19.7,0,Kharif
2026-08-25,dairy,Gujarat,1368.31,168.07,127.12,28.4,1,Kharif
2026-06-28,fruits,Kerala,1435.79,101.32,175.98,18.4,0,Kharif
2026-08-05,grains,Gujarat,2691.29,59.01,28.71,15.5,1,Kharif
2025-10-15,oilseeds,Kerala,2115.96,118.41,69.58,22.8,1,Kharif
2025-04-29,dairy,Maharashtra,1245.15,197.8,6.82,28.9,0,Zaid
2025-11-07,grains,Punjab,1713.45,149.17,34.62,34.8,1,Rabi
2025-03-16,pulses,Karnataka,656.16,150.38,28.92,20.5,0,Rabi
2025-02-25,spices,Gujarat,628.49,180.95,9.59,21.5,0,Rabi
2024-12-26,grains,Karnataka,1032.49,32.5,25.95,16.4,0,Rabi
2025-09-30,dairy,Gujarat,850.57,117.2,264.02,28.0,0,Kharif
2025-06-15,spices,Gujarat,986.5,79.94,200.85,34.9,0,Kharif
2025-06-01,fruits,Karnataka,1336.68,151.52,139.56,16.2,0,Kharif
2026-04-27,pulses,Punjab,1936.44,51.55,34.5,19.0,0,Zaid
2025-03-11,fruits,Karnataka,1134.03,167.93,0.06,21.0,0,Rabi
2026-01-18,pulses,Kerala,1890.77,62.24,19.97,18.0,0,Rabi
2025-01-16,dairy,Gujarat,1890.5,117.19,42.1,25.4,0,Rabi
2026-04-26,spices,Karnataka,633.69,155.95,6.39,31.5,0,Zaid
2025-03-14,spices,Gujarat,1563.12,26.51,15.16,20.3,0,Rabi
2024-12-27,fruits,Maharashtra,631.46,188.65,27.69,21.1,0,Rabi
2025-02-28,pulses,Karnataka,1170.8,128.11,25.78,33.4,0,Rabi
2025-07-17,grains,Tamil Nadu,1988.24,173.26,62.55,33.6,0,Kharif
2025-12-02,fruits,Karnataka,1726.17,88.51,43.9,32.4,0,Rabi
2025-08-09,spices,Kerala,2527.57,74.84,24.28,23.1,1,Kharif
2026-06-16,fruits,Kerala,1542.43,82.3,292.68,27.8,0,Kharif
2025-10-02,vegetables,Punjab,1048.18,175.16,276.83,24.7,1,Kharif
2025-08-06,spices,Delhi,2470.82,51.47,150.77,23.0,1,Kharif
2026-01-18,vegetables,Andhra Pradesh,1051.3,32.27,1.29,17.7,0,Rabi
2025-01-19,pulses,Andhra Pradesh,1324.29,193.85,21.62,21.2,0,Rabi
2025-01-20,spices,Gujarat,1159.27,39.02,32.04,19.3,0,Rabi
2026-08-06,spices,Punjab,2212.95,47.36,18.4,30.6,1,Kharif
2025-12-27,fruits,Maharashtra,587.25,199.08,2.89,28.9,0,Rabi
2026-05-27,vegetables,Tamil Nadu,858.77,45.6,6.07,21.1,0,Zaid
2026-02-27,grains,Tamil Nadu,1538.24,31.21,25.47,34.9,0,Rabi
2025-07-29,vegetables,Andhra Pradesh,1422.83,75.13,187.17,25.5,0,Kharif
2026-05-28,oilseeds,Punjab,696.07,179.59,22.49,18.9,0,Zaid
2025-12-11,oilseeds,Kerala,1121.19,168.96,36.68,30.4,0,Rabi
2025-01-23,spices,Tamil Nadu,1124.23,106.64,0.96,20.2,0,Rabi
2025-10-14,fruits,Tamil Nadu,1058.5,116.36,64.56,15.2,1,Kharif
2025-06-19,fruits,Andhra Pradesh,1963.81,164.28,287.87,24.8,0,Kharif
2026-04-28,grains,Maharashtra,1321.94,101.79,42.22,17.0,0,Zaid
2025-05-15,fruits,Karnataka,725.07,78.44,36.87,24.5,0,Zaid
2025-01-16,vegetables,Andhra Pradesh,1091.71,102.7,39.25,32.8,0,Rabi
2025-08-06,vegetables,Delhi,2520.53,76.77,206.44,23.8,1,Kharif
2026-05-11,dairy,Maharashtra,1761.31,26.92,45.09,24.2,0,Zaid
2026-03-20,grains,Tamil Nadu,1489.03,181.12,31.83,27.3,0,Rabi
2024-08-27,pulses,Tamil Nadu,1916.42,47.03,221.23,25.2,1,Kharif
2025-06-25,dairy,Delhi,562.51,35.26,214.9,16.4,0,Kharif
2025-05-06,grains,Delhi,553.36,111.54,19.38,24.2,0,Zaid
2026-06-08,pulses,Kerala,1956.12,189.62,235.15,22.1,0,Kharif
2025-11-21,fruits,Andhra Pradesh,1986.64,169.5,3.44,23.5,1,Rabi
2024-10-01,oilseeds,Delhi,1907.98,181.8,234.75,19.6,1,Kharif
2025-02-01,vegetables,Punjab,1501.03,21.88,12.77,20.2,0,Rabi
2024-09-03,vegetables,Maharashtra,1939.74,106.09,268.74,21.4,0,Kharif
2025-04-15,pulses,Gujarat,1211.5,40.51,24.3,33.4,0,Zaid
2024-12-02,pulses,Punjab,692.14,80.89,46.4,19.5,0,Rabi
2026-06-15,vegetables,Delhi,1148.12,99.09,183.88,33.9,0,Kharif
2025-03-21,spices,Gujarat,682.25,55.54,44.35,27.9,0,Rabi
2025-01-03,grains,Punjab,1723.92,175.05,42.33,33.4,0,Rabi
2025-10-03,fruits,Andhra Pradesh,2448.84,102.9,252.6,29.6,1,Kharif
2025-01-24,oilseeds,Tamil Nadu,1484.24,51.94,27.25,34.7,0,Rabi
2024-10-18,spices,Gujarat,847.14,49.67,39.52,29.5,1,Kharif
2024-12-23,grains,Punjab,820.27,111.05,42.04,29.7,0,Rabi
2026-06-29,grains,Andhra Pradesh,1385.52,111.5,89.26,26.3,0,Kharif
2026-05-15,dairy,Karnataka,1809.98,134.53,38.06,18.2,0,Zaid
2026-04-04,fruits,Punjab,514.0,64.4,36.32,34.8,0,Zaid
2026-05-12,grains,Delhi,1819.72,138.36,15.55,29.8,0,Zaid
2025-10-19,spices,Tamil Nadu,2133.7,143.82,112.58,25.8,1,Kharif
2025-10-21,pulses,Karnataka,2658.11,171.19,249.8,15.2,1,Kharif
2024-12-07,vegetables,Punjab,1638.01,142.11,37.81,31.8,0,Rabi
2025-05-06,spices,Delhi,1253.08,42.45,19.27,27.9,0,Zaid
2025-04-09,fruits,Delhi,825.81,44.81,33.15,15.0,0,Zaid
2024-12-15,oilseeds,Andhra Pradesh,543.61,50.04,9.07,22.8,0,Rabi
2026-01-17,vegetables,Tamil Nadu,1811.39,111.82,36.17,17.1,0,Rabi
2025-12-11,fruits,Tamil Nadu,1554.42,29.5,24.33,27.0,0,Rabi
2024-12-02,grains,Tamil Nadu,534.4,77.98,31.82,18.0,0,Rabi
2025-01-25,dairy,Gujarat,1677.35,147.38,39.43,25.3,0,Rabi
2025-07-29,dairy,Gujarat,683.57,152.39,70.76,22.4,0,Kharif
2026-08-01,vegetables,Kerala,2553.08,157.99,220.08,21.0,1,Kharif
2025-02-04,vegetables,Maharashtra,1456.33,109.31,8.91,28.7,0,Rabi
2026-08-15,oilseeds,Karnataka,2431.24,153.2,285.09,19.1,1,Kharif
2026-07-07,pulses,Andhra Pradesh,1969.47,49.75,210.08,26.7,0,Kharif
2025-02-02,spices,Andhra Pradesh,1546.51,187.33,39.13,16.1,0,Rabi
2026-03-28,grains,Karnataka,838.31,87.84,23.09,24.6,0,Rabi
2025-09-27,dairy,Punjab,1906.03,147.08,189.35,16.0,0,Kharif
2025-05-29,oilseeds,Punjab,1864.09,160.44,0.35,16.1,0,Zaid
2026-01-11,spices,Gujarat,697.02,91.79,46.13,24.4,0,Rabi
2025-09-21,dairy,Karnataka,924.12,28.03,10.89,20.5,0,Kharif
2025-01-07,oilseeds,Gujarat,1680.69,195.47,18.56,23.6,0,Rabi
2025-03-08,vegetables,Andhra Pradesh,902.21,48.15,42.65,15.9,0,Rabi
2025-09-30,fruits,Punjab,1342.99,82.27,94.56,30.4,0,Kharif
2026-05-27,spices,Tamil Nadu,855.18,151.84,27.42,17.6,0,Zaid
2024-09-27,oilseeds,Andhra Pradesh,578.39,95.38,78.05,29.6,0,Kharif
2026-07-14,fruits,Andhra Pradesh,884.8,137.75,59.43,26.3,0,Kharif
2025-11-28,grains,Kerala,2937.01,129.53,17.48,17.3,1,Rabi
2025-12-08,fruits,Andhra Pradesh,837.98,65.17,42.53,26.2,0,Rabi
2025-09-04,vegetables,Delhi,672.15,174.83,216.84,16.4,0,Kharif
2024-09-16,spices,Maharashtra,1315.31,34.71,137.49,24.7,0,Kharif
2026-06-26,dairy,Andhra Pradesh,1918.55,173.0,200.71,24.2,0,Kharif
2024-10-02,grains,Andhra Pradesh,2435.89,72.31,236.09,17.2,1,Kharif
2025-04-12,grains,Punjab,1967.09,162.92,24.86,21.8,0,Zaid
2025-08-25,dairy,Gujarat,1975.91,156.52,226.23,15.4,1,Kharif
2026-03-11,dairy,Tamil Nadu,1819.37,176.7,11.94,24.0,0,Rabi
2025-11-06,fruits,Gujarat,2487.03,24.89,3.26,24.3,1,Rabi
2025-06-04,pulses,Maharashtra,1086.09,163.7,111.58,24.0,0,Kharif
2024-09-21,grains,Punjab,640.11,99.39,58.68,18.7,0,Kharif
2025-04-08,pulses,Gujarat,1636.22,69.76,15.62,27.9,0,Zaid
2025-05-29,oilseeds,Delhi,1845.44,113.63,22.38,26.2,0,Zaid
2026-04-26,fruits,Tamil Nadu,1420.21,85.36,44.86,18.4,0,Zaid
2025-06-05,spices,Maharashtra,1397.17,26.01,109.11,29.7,0,Kharif
2025-12-19,grains,Andhra Pradesh,1160.49,130.75,4.17,32.6,0,Rabi
2025-11-21,pulses,Kerala,1886.72,194.08,20.89,34.7,1,Rabi
2026-06-15,dairy,Karnataka,1452.01,49.87,264.58,23.5,0,Kharif
