date,commodity,market,state,min_price,max_price,modal_price,msp,arrival_qty_tonnes
2025-12-10,Mango,Lasalgaon,Maharashtra,1703.41,1953.12,1828.26,1792.68,304.39
2025-10-17,Potato,Lasalgaon,Maharashtra,1800.6,2104.79,1952.69,1861.15,398.39
2026-01-19,Onion,Keshopur,Delhi,2869.33,3611.23,3240.28,2954.65,291.88
2026-06-01,Potato,Azadpur Mandi,Delhi,2652.62,3884.03,3268.32,2697.05,474.77
2025-11-04,Rice,Keshopur,Delhi,3036.97,4222.97,3629.97,2970.49,197.59
2026-06-02,Tomato,Vashi APMC,Maharashtra,1808.8,2406.63,2107.72,2214.42,393.39
2026-06-29,Wheat,Azadpur Mandi,Delhi,2009.14,2220.53,2114.84,2260.62,242.13
2026-05-15,Onion,Azadpur Mandi,Delhi,1673.19,2015.59,1844.39,1586.88,228.07
2026-02-14,Apple,Azadpur Mandi,Delhi,1449.99,1852.78,1651.38,1787.1,122.47
2026-08-04,Potato,Lasalgaon,Maharashtra,1642.31,2346.37,1994.34,1627.52,272.59
2026-06-14,Wheat,Vashi APMC,Maharashtra,1531.84,2190.07,1860.95,1566.53,116.63
2026-08-02,Rice,Vashi APMC,Maharashtra,2415.83,3592.58,3004.2,2493.59,225.2
2025-09-09,Apple,Ghazipur,Delhi,1470.85,1621.31,1546.08,1756.47,198.98
2025-11-17,Rice,Keshopur,Delhi,2687.09,3455.28,3071.19,2818.4,76.2
2025-11-19,Wheat,Azadpur Mandi,Delhi,2269.87,3348.39,2809.13,2548.26,311.02
2025-10-05,Onion,Azadpur Mandi,Delhi,1672.88,1883.47,1778.18,1981.1,198.14
2026-03-27,Potato,Ghazipur,Delhi,1804.56,2005.88,1905.22,2167.81,17.64
2026-06-05,Wheat,Azadpur Mandi,Delhi,1724.77,2071.11,1897.94,2070.69,183.93
2026-06-20,Wheat,Azadpur Mandi,Delhi,1693.04,2109.17,1901.11,1774.4,122.58
2025-10-14,Mango,Azadpur Mandi,Delhi,1408.75,1830.69,1619.72,1688.7,389.66
2026-03-12,Apple,Ghazipur,Delhi,1944.95,2279.78,2112.37,1862.92,318.32
2026-01-17,Potato,Azadpur Mandi,Delhi,2147.1,3184.61,2665.86,2481.13,253.09
2026-05-25,Tomato,Ghazipur,Delhi,3050.49,4010.94,3530.72,2947.46,139.08
2025-12-12,Onion,Keshopur,Delhi,2328.38,3122.85,2725.61,2755.98,498.42
2026-03-20,Milk,Azadpur Mandi,Delhi,1834.52,2687.18,2260.85,2030.6,101.85
2025-10-28,Tomato,Ghazipur,Delhi,2853.5,3248.79,3051.14,2833.82,59.65
2026-06-09,Tomato,Azadpur Mandi,Delhi,2684.17,3594.64,3139.4,2792.31,318.47
2026-03-23,Mango,Azadpur Mandi,Delhi,2589.7,2930.99,2760.34,2727.0,269.02
2025-08-31,Milk,Lasalgaon,Maharashtra,2407.98,2959.83,2683.9,2604.6,79.72
2026-05-22,Onion,Lasalgaon,Maharashtra,2462.82,3662.11,3062.47,2447.05,181.73
2026-05-17,Milk,Vashi APMC,Maharashtra,1643.13,2336.26,1989.7,1849.84,273.45
2026-03-06,Potato,Keshopur,Delhi,1643.5,2053.04,1848.27,1646.31,28.76
2026-06-29,Milk,Keshopur,Delhi,1678.05,2213.98,1946.01,1568.66,108.89
2025-11-07,Onion,Azadpur Mandi,Delhi,2350.86,2654.37,2502.61,2228.07,216.3
2025-08-30,Wheat,Ghazipur,Delhi,2674.57,3962.82,3318.7,2978.05,209.0
2026-02-16,Rice,Ghazipur,Delhi,2388.42,3115.02,2751.72,2568.54,315.13
2026-07-18,Rice,Azadpur Mandi,Delhi,2073.52,2723.57,2398.55,2501.29,58.11
2026-08-25,Tomato,Keshopur,Delhi,2236.04,2468.46,2352.25,2246.59,260.02
2026-05-08,Apple,Vashi APMC,Maharashtra,2479.06,3179.33,2829.19,2809.2,360.85
2026-02-13,Onion,Lasalgaon,Maharashtra,2153.87,2420.61,2287.24,2186.74,426.75
2025-11-21,Apple,Azadpur Mandi,Delhi,2634.81,3618.62,3126.72,2894.52,384.63
2026-06-03,Milk,Lasalgaon,Maharashtra,1580.15,2320.99,1950.57,1722.16,155.02
2026-03-26,Onion,Keshopur,Delhi,2909.15,3752.01,3330.58,2715.94,393.25
2026-08-02,Rice,Azadpur Mandi,Delhi,1964.85,2679.09,2321.97,1838.34,378.1
2026-06-02,Mango,Keshopur,Delhi,2484.59,3410.34,2947.47,2747.32,253.99
2026-01-29,Wheat,Keshopur,Delhi,1876.23,2596.63,2236.43,1708.72,209.23
2026-01-24,Mango,Vashi APMC,Maharashtra,1813.34,2272.59,2042.97,1813.31,79.5
2026-02-06,Onion,Ghazipur,Delhi,2951.21,4366.52,3658.87,2865.88,208.73
2025-11-25,Onion,Lasalgaon,Maharashtra,1307.59,1740.93,1524.26,1548.23,25.14
2026-05-27,Potato,Keshopur,Delhi,2567.56,3728.3,3147.93,2513.79,228.32
2026-06-03,Potato,Lasalgaon,Maharashtra,1742.67,2247.16,1994.91,1965.42,78.59
2026-06-01,Tomato,Lasalgaon,Maharashtra,2443.35,3040.9,2742.12,2486.6,217.65
2025-12-27,Rice,Keshopur,Delhi,2280.81,2851.2,2566.01,2486.14,76.87
2026-04-08,Rice,Ghazipur,Delhi,2749.67,3834.69,3292.18,2853.92,402.41
2026-03-14,Milk,Lasalgaon,Maharashtra,2434.64,3476.0,2955.32,2251.4,69.67
2026-08-25,Mango,Lasalgaon,Maharashtra,2703.9,3229.61,2966.76,2997.97,322.43
2026-02-17,Milk,Lasalgaon,Maharashtra,1825.58,2459.42,2142.5,1765.68,419.29
2026-03-11,Apple,Lasalgaon,Maharashtra,2906.27,3979.65,3442.96,2945.76,452.77
2025-12-10,Apple,Vashi APMC,Maharashtra,2763.25,3398.95,3081.1,2820.36,202.45
2025-11-20,Tomato,Ghazipur,Delhi,2003.53,2900.54,2452.03,2265.8,416.25
2026-06-02,Milk,Azadpur Mandi,Delhi,1729.24,2482.26,2105.75,2102.85,25.69
2025-10-16,Wheat,Keshopur,Delhi,2007.23,2866.73,2436.98,2469.97,380.98
2025-10-07,Apple,Azadpur Mandi,Delhi,2643.01,3162.68,2902.85,2455.5,304.5
2026-06-12,Mango,Keshopur,Delhi,2196.38,2677.98,2437.18,2665.06,435.74
2026-04-03,Apple,Keshopur,Delhi,1903.22,2105.56,2004.39,2131.48,31.31
2026-08-16,Onion,Vashi APMC,Maharashtra,2263.96,3206.32,2735.14,2130.48,442.46
2025-11-15,Apple,Azadpur Mandi,Delhi,2938.8,3499.52,3219.16,2718.46,252.45
2026-06-28,Apple,Ghazipur,Delhi,1850.63,2376.02,2113.32,1707.22,456.14
2026-08-12,Tomato,Vashi APMC,Maharashtra,1891.21,2208.95,2050.08,2284.16,282.53
2025-09-28,Mango,Vashi APMC,Maharashtra,3021.75,3793.09,3407.42,2861.75,115.12
2025-11-25,Mango,Azadpur Mandi,Delhi,1629.48,2138.48,1883.98,1967.79,376.16
2026-01-31,Rice,Lasalgaon,Maharashtra,2195.27,2493.88,2344.57,2380.19,299.16
2026-01-21,Rice,Lasalgaon,Maharashtra,2147.12,3120.75,2633.93,2208.93,490.28
2026-02-23,Tomato,Vashi APMC,Maharashtra,2174.08,2671.61,2422.85,2701.96,296.47
2025-08-31,Rice,Vashi APMC,Maharashtra,2636.32,3910.26,3273.29,2712.03,481.64
2025-09-11,Mango,Azadpur Mandi,Delhi,1386.87,1528.68,1457.78,1655.58,386.21
2026-08-16,Milk,Ghazipur,Delhi,1761.45,2217.58,1989.51,2031.16,453.76
2026-05-29,Mango,Keshopur,Delhi,2396.86,3349.62,2873.24,2536.05,363.29
2026-06-04,Milk,Ghazipur,Delhi,2128.95,2752.96,2440.95,2551.11,483.94
2026-06-22,Onion,Keshopur,Delhi,2325.28,2698.17,2511.73,2606.33,474.67
2025-09-18,Apple,Azadpur Mandi,Delhi,1405.52,2030.84,1718.18,1568.83,105.58
2026-02-03,Wheat,Ghazipur,Delhi,2706.29,3126.86,2916.57,2466.77,67.5
2026-06-21,Rice,Keshopur,Delhi,1802.34,2539.54,2170.94,1705.52,410.78
2026-02-04,Rice,Azadpur Mandi,Delhi,2199.6,3291.57,2745.59,2509.21,478.57
2026-01-24,Milk,Azadpur Mandi,Delhi,1865.84,2756.82,2311.33,2110.22,114.36
2025-11-13,Tomato,Azadpur Mandi,Delhi,1508.0,1692.85,1600.42,1570.51,105.45
2026-03-15,Tomato,Lasalgaon,Maharashtra,1697.92,1901.16,1799.54,1872.07,105.96
2026-04-08,Apple,Vashi APMC,Maharashtra,2152.81,2398.96,2275.89,2174.17,72.17
2025-10-11,Potato,Azadpur Mandi,Delhi,2064.93,2537.85,2301.39,2148.65,219.6
2026-04-24,Rice,Ghazipur,Delhi,1644.51,2254.5,1949.51,1776.2,425.8
2026-05-31,Tomato,Ghazipur,Delhi,2144.85,2825.83,2485.34,2608.76,176.16
2026-08-23,Wheat,Azadpur Mandi,Delhi,1670.29,1865.46,1767.88,2028.27,299.27
2026-07-21,Tomato,Ghazipur,Delhi,2922.59,3629.24,3275.91,2780.78,190.42
2026-05-21,Mango,Vashi APMC,Maharashtra,2145.52,2540.49,2343.01,2316.72,336.5
2025-11-11,Onion,Vashi APMC,Maharashtra,1705.88,1952.93,1829.41,1848.73,105.62
2026-03-02,Apple,Azadpur Mandi,Delhi,1601.79,2291.87,1946.83,1616.13,452.38
2026-05-06,Onion,Azadpur Mandi,Delhi,2510.71,3541.55,3026.13,2508.84,164.2
2026-04-05,Tomato,Ghazipur,Delhi,2243.55,3286.58,2765.07,2220.12,319.81
2026-08-02,Wheat,Keshopur,Delhi,2899.1,4123.37,3511.23,2820.34,182.02
2026-02-15,Tomato,Azadpur Mandi,Delhi,1518.71,1858.69,1688.7,1588.39,423.98
2026-04-23,Apple,Azadpur Mandi,Delhi,1642.36,1808.69,1725.53,1560.18,455.83
2026-02-26,Apple,Keshopur,Delhi,1786.41,2609.5,2197.95,2041.89,274.38
2026-05-05,Rice,Azadpur Mandi,Delhi,2094.99,3070.74,2582.86,2203.86,285.06
2026-05-15,Apple,Azadpur Mandi,Delhi,1683.62,2376.64,2030.13,1945.51,426.71
2025-11-29,Onion,Azadpur Mandi,Delhi,2064.87,2391.33,2228.1,1880.03,354.85
2026-01-31,Onion,Lasalgaon,Maharashtra,2642.69,3420.13,3031.41,2744.14,129.08
2026-07-19,Milk,Ghazipur,Delhi,1748.98,2051.36,1900.17,2183.96,110.34
2025-12-13,Onion,Azadpur Mandi,Delhi,2644.38,3854.54,3249.46,2783.85,245.26
2026-01-27,Mango,Vashi APMC,Maharashtra,1836.1,2153.15,1994.62,1708.04,288.25
2026-05-01,Rice,Ghazipur,Delhi,1679.53,1852.15,1765.84,2019.87,214.13
2026-01-10,Apple,Keshopur,Delhi,2032.01,2710.76,2371.39,2472.1,27.76
2026-06-21,Milk,Lasalgaon,Maharashtra,2663.67,3917.92,3290.8,2821.46,28.84
2025-12-20,Tomato,Vashi APMC,Maharashtra,1540.18,2205.63,1872.91,1767.46,342.06
2026-02-11,Onion,Azadpur Mandi,Delhi,2137.06,2848.21,2492.64,2631.7,86.35
2026-05-15,Wheat,Azadpur Mandi,Delhi,2438.76,3155.91,2797.34,2323.31,173.58
2025-10-08,Potato,Azadpur Mandi,Delhi,1514.76,1830.02,1672.39,1567.88,403.2
2026-05-28,Apple,Keshopur,Delhi,1296.21,1895.9,1596.06,1553.79,373.01
2025-11-14,Rice,Lasalgaon,Maharashtra,1985.64,2440.97,2213.3,2244.69,126.73
2025-12-11,Potato,Ghazipur,Delhi,2409.62,3026.53,2718.07,2410.72,227.11
2026-01-26,Potato,Vashi APMC,Maharashtra,1853.98,2641.45,2247.72,2032.45,395.69
2026-01-24,Wheat,Azadpur Mandi,Delhi,2264.26,2594.1,2429.18,2544.06,381.34
2026-02-10,Onion,Keshopur,Delhi,2286.95,2864.1,2575.52,2508.63,376.59
2025-09-23,Milk,Keshopur,Delhi,2294.59,2725.28,2509.94,2237.21,465.6
2026-04-10,Potato,Azadpur Mandi,Delhi,1707.3,2286.04,1996.67,1867.63,439.19
2026-08-15,Apple,Vashi APMC,Maharashtra,2123.91,3175.9,2649.9,2012.93,81.06
2025-09-26,Wheat,Keshopur,Delhi,2259.91,2842.96,2551.43,2357.5,206.72
2026-04-07,Milk,Azadpur Mandi,Delhi,1653.46,2448.74,2051.1,1844.32,237.37
2026-04-26,Rice,Keshopur,Delhi,2955.78,3485.72,3220.75,2919.79,320.59
2026-01-28,Apple,Vashi APMC,Maharashtra,1557.37,2046.86,1802.11,1543.6,333.52
2026-06-28,Tomato,Azadpur Mandi,Delhi,2087.95,2549.07,2318.51,2339.51,110.53
2026-07-08,Potato,Keshopur,Delhi,2569.48,2863.28,2716.38,2390.05,117.58
2026-06-28,Rice,Keshopur,Delhi,2047.25,2490.8,2269.03,2236.44,358.32
2025-10-04,Milk,Keshopur,Delhi,1771.56,2392.48,2082.02,1940.35,297.44
2025-09-04,Mango,Ghazipur,Delhi,1267.95,1709.14,1488.55,1529.33,140.57
2026-03-03,Potato,Azadpur Mandi,Delhi,1892.62,2130.71,2011.66,2046.87,331.29
2025-11-04,Mango,Vashi APMC,Maharashtra,1739.93,2096.44,1918.18,2099.62,167.82
2025-11-14,Rice,Keshopur,Delhi,1823.0,2300.93,2061.97,1806.96,80.39
2026-02-06,Wheat,Ghazipur,Delhi,2445.54,2714.64,2580.09,2247.85,129.83
2026-05-05,Onion,Keshopur,Delhi,1789.49,2135.23,1962.36,2159.89,110.24
2026-05-07,Tomato,Vashi APMC,Maharashtra,1800.66,2495.69,2148.18,2124.6,254.68
2026-08-13,Wheat,Keshopur,Delhi,2600.76,3736.52,3168.64,2956.81,462.18
2026-08-01,Rice,Vashi APMC,Maharashtra,2011.18,2825.54,2418.36,2475.66,227.71
2025-12-11,Milk,Vashi APMC,Maharashtra,2759.74,3226.66,2993.2,2933.11,123.87
2026-01-29,Rice,Keshopur,Delhi,2206.95,3280.9,2743.93,2043.1,351.06
2026-05-31,Milk,Lasalgaon,Maharashtra,2038.21,2819.1,2428.65,2003.21,223.0
2025-09-14,Tomato,Azadpur Mandi,Delhi,1958.94,2713.77,2336.36,1806.17,447.32
2026-01-07,Potato,Keshopur,Delhi,1476.84,1851.0,1663.92,1547.81,208.85
2026-03-29,Milk,Vashi APMC,Maharashtra,1649.74,2436.5,2043.12,1641.13,268.87
2026-02-26,Potato,Lasalgaon,Maharashtra,1741.83,2401.86,2071.85,1776.85,278.54
2026-04-08,Mango,Lasalgaon,Maharashtra,2321.39,2984.79,2653.09,2702.79,394.38
2025-09-09,Apple,Azadpur Mandi,Delhi,2429.34,2805.24,2617.29,2291.02,413.27
2025-12-04,Milk,Lasalgaon,Maharashtra,1753.49,2579.72,2166.61,1634.05,267.99
2025-08-31,Wheat,Azadpur Mandi,Delhi,2401.34,2762.84,2582.09,2206.35,151.46
2026-01-02,Onion,Azadpur Mandi,Delhi,2615.78,3157.97,2886.88,2948.56,67.78
2025-11-29,Tomato,Vashi APMC,Maharashtra,1693.9,1943.05,1818.47,1607.72,258.89
2025-10-23,Mango,Keshopur,Delhi,2575.7,2894.74,2735.22,2357.66,300.63
2026-02-02,Milk,Ghazipur,Delhi,1812.82,2554.07,2183.45,2079.33,432.64
2025-12-28,Mango,Keshopur,Delhi,1343.86,1634.25,1489.05,1600.5,287.42
2025-10-31,Potato,Keshopur,Delhi,1724.84,2249.29,1987.07,1612.69,158.11
2026-02-09,Onion,Azadpur Mandi,Delhi,1637.83,2285.85,1961.84,1589.93,184.82
2025-10-19,Milk,Keshopur,Delhi,2623.46,3448.29,3035.88,2853.39,149.3
2025-12-15,Tomato,Keshopur,Delhi,1499.78,1817.39,1658.59,1522.42,45.72
2025-11-26,Mango,Vashi APMC,Maharashtra,2139.95,2984.29,2562.12,2204.79,492.25
2026-07-06,Milk,Vashi APMC,Maharashtra,2537.69,3543.36,3040.53,2967.71,245.34
2025-09-09,Apple,Vashi APMC,Maharashtra,2027.34,2389.17,2208.26,2321.18,26.31
2026-01-28,Wheat,Vashi APMC,Maharashtra,1909.9,2359.86,2134.88,1988.48,433.91
2025-12-20,Wheat,Azadpur Mandi,Delhi,1574.16,1948.04,1761.1,1870.8,489.38
2026-01-01,Tomato,Azadpur Mandi,Delhi,1869.38,2478.91,2174.14,1978.29,337.19
2025-09-03,Tomato,Vashi APMC,Maharashtra,2301.76,3349.05,2825.41,2259.56,70.15
2025-11-22,Milk,Ghazipur,Delhi,2333.27,2649.11,2491.19,2557.49,160.17
2025-11-15,Onion,Keshopur,Delhi,2838.1,4163.0,3500.55,2616.57,427.76
2026-02-10,Potato,Azadpur Mandi,Delhi,1842.61,2461.33,2151.97,1711.95,201.04
2025-11-20,Rice,Azadpur Mandi,Delhi,1548.79,2266.1,1907.44,1614.5,301.32
2026-05-25,Apple,Lasalgaon,Maharashtra,2909.96,3640.51,3275.24,2898.16,15.46
2025-12-14,Apple,Keshopur,Delhi,2096.99,2746.34,2421.66,2242.8,259.44
2026-07-14,Onion,Lasalgaon,Maharashtra,2096.52,2394.37,2245.44,2286.69,96.58
2026-04-08,Tomato,Azadpur Mandi,Delhi,2362.5,3272.66,2817.58,2446.24,456.58
2025-10-18,Rice,Azadpur Mandi,Delhi,1420.76,1676.12,1548.44,1503.09,213.45
2025-09-20,Milk,Lasalgaon,Maharashtra,2301.24,2955.35,2628.3,2289.02,441.14
2025-12-15,Apple,Keshopur,Delhi,1846.0,2172.59,2009.3,1786.49,423.02
2026-07-05,Onion,Azadpur Mandi,Delhi,2036.01,2807.48,2421.74,2104.48,90.14
2026-04-23,Potato,Ghazipur,Delhi,2501.53,2954.99,2728.26,2531.86,256.71
2026-07-25,Wheat,Keshopur,Delhi,2376.77,3476.67,2926.72,2673.84,240.14
2026-02-23,Milk,Ghazipur,Delhi,2611.74,3772.52,3192.13,2726.91,99.77
2026-05-18,Rice,Azadpur Mandi,Delhi,1766.18,2137.57,1951.88,1808.68,484.26
2026-04-12,Tomato,Keshopur,Delhi,1464.87,1886.46,1675.66,1767.49,186.72
2025-12-19,Milk,Azadpur Mandi,Delhi,1666.58,2131.99,1899.28,1635.79,248.57
2026-05-11,Wheat,Lasalgaon,Maharashtra,2306.66,2798.51,2552.59,2695.11,316.31
2026-06-26,Milk,Vashi APMC,Maharashtra,1436.21,2084.57,1760.39,1640.44,461.66
2025-10-02,Onion,Vashi APMC,Maharashtra,2696.87,3392.66,3044.76,2995.48,277.08
2026-08-16,Tomato,Lasalgaon,Maharashtra,2088.06,2324.72,2206.39,2078.34,463.6
2025-12-05,Milk,Ghazipur,Delhi,2158.82,2533.9,2346.36,2327.82,15.05
2025-12-26,Wheat,Keshopur,Delhi,1442.64,1600.68,1521.66,1697.22,298.92
2025-11-10,Tomato,Lasalgaon,Maharashtra,3158.75,4720.77,3939.76,2924.41,281.06
2025-11-09,Wheat,Ghazipur,Delhi,1539.48,2192.52,1866.0,1714.98,39.97
